MLS,sold_price,zipcode,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21706468,535000.0,85739,0.48,5184.0,2006,3,4.0,3651.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,Ceramic Tile,165
21224230,560000.0,85749,3.1,10180.0,2007,4,4.0,5621.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Wood",0
21318726,552500.0,85750,1.04,6579.91,1990,4,3.0,3543.0,2.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Oven",1,"Carpet, Mexican Tile",65
21323933,565000.0,85750,0.42,4830.0,1993,4,4.0,3069.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",1,"Carpet, Ceramic Tile",60
21707767,538400.0,85750,0.81,6014.06,1993,5,5.0,3825.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Ceramic Tile, Wood",62
21628356,540000.0,85748,4.12,3280.84,1962,3,3.0,2672.0,6.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Ceramic Tile, Mexican Tile, Other",0
21707603,550000.0,85750,0.8,6390.03,1994,5,4.0,3368.0,3.0,"Dishwasher, Garbage Disposal, Microwave, Oven",1,"Carpet, Ceramic Tile, Wood",100
21718066,555000.0,85750,1.15,5400.0,1986,4,3.0,3082.0,2.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: granite",2,"Carpet, Ceramic Tile",6
21727392,542000.0,85742,3.31,4720.0,2007,4,3.0,3208.0,3.0,"Double Sink, Garbage Disposal, Island, Pantry: Closet, Refrigerator, Microwave: Built in, Oven: Gas",1,Ceramic Tile,0
21808242,565000.0,85745,0.54,5549.85,2002,3,4.0,3002.0,3.0,"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Quartz",1,"Carpet, Ceramic Tile, Concrete",69
21810136,530000.0,85737,0.4,5624.76,1997,2,2.0,2875.0,2.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Pantry: Walk-In, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: -, Oven: & Warming Drawer",1,"Ceramic Tile, Natural Stone",132
21802448,560000.0,85749,1.01,5321.5,2004,4,3.0,3067.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Lazy Susan, Pantry: Closet, Appliance Color: Black, Countertops: Granite, Microwave: GE Profile, Oven: Double/convection",2,"Carpet, Ceramic Tile",25
21812379,552500.0,85749,1.0,4076.0,1984,4,4.0,3740.0,2.0,"Dishwasher, Electric Range, Garbage Disposal, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Quartz",4,"Ceramic Tile, Mexican Tile, Natural Stone",0
21812993,553500.0,85750,0.98,3476.97,1987,4,3.0,2513.0,2.0,"Dishwasher, Electric Range, Garbage Disposal, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: White quartz, Microwave: Under counter, Oven: Electric",2,"Carpet, Ceramic Tile",34
21813601,565000.0,85718,1.14,4340.3,1969,4,3.0,2848.0,2.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Refrigerator, Appliance Color: Stainless, Countertops: Marble, Microwave: Convection & Regular",1,Ceramic Tile,8
21821918,540000.0,85750,1.01,5398.22,1986,3,3.0,2892.0,2.0,"Dishwasher, Double Sink, Garbage Disposal, Refrigerator, Countertops: Gas / Black, Microwave: Black, Oven: Electric / Black",1,"Carpet, Ceramic Tile, Concrete, Natural Stone",0
21815794,542500.0,85750,0.86,2865.9,1969,4,3.0,3012.0,2.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Closet, Refrigerator, Appliance Color: Other, Countertops: Granite, Microwave: Other, Oven: Other",1,"Carpet, Ceramic Tile",0
21820963,500000.0,85745,5.67,3047.87,2017,4,4.0,3577.0,3.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless",0,"Ceramic Tile, Laminate",0
21823811,555000.0,85704,1.33,5499.13,1998,4,3.0,3189.0,3.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Pantry: Closet, Appliance Color: Black, Microwave: Built-in",1,"Carpet, Ceramic Tile",0
21804019,480000.0,85742,1.1,1355.0,2018,4,3.0,3082.0,3.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Pantry: Walk-In, Appliance Color: Stainless, Countertops: Quartz, Microwave: Built in, Oven: Double Ovens",0,"Carpet, Ceramic Tile",0
21901015,565000.0,85629,1.09,4375.31,2006,4,3.0,2507.0,4.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Double Ovens",1,Ceramic Tile,11
21900133,555000.0,85705,0.18,2299.26,1910,2,2.0,2257.0,0.0,"Gas Range, Pantry: Butler, Refrigerator, Countertops: Granite",1,"Ceramic Tile, Wood",0
21900786,552000.0,85749,1.6,4754.29,1979,3,3.0,3139.0,2.0,"Dishwasher, Double Sink, Garbage Disposal, Refrigerator, Appliance Color: Stainless, Countertops: granite, Microwave: stainless, Oven: Oven",2,Mexican Tile,0
21823744,542000.0,85614,0.43,4249.94,2005,3,3.0,2856.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Reverse Osmosis, Microwave: Frigidaire Professio, Oven: Frigidaire Professio",1,"Carpet, Ceramic Tile",16
21902036,535000.0,85750,0.37,6255.85,1994,4,4.0,4110.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: White, Countertops: Corian, Microwave: microwave, Oven: oven",1,"Carpet, Ceramic Tile",22
21830183,535000.0,85630,36.0,3896.96,1998,4,3.0,3165.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite",1,"Carpet, Ceramic Tile",34
3053192,540000.0,85614,2.08,5077.95,2007,4,3.0,3512.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: Granite, Microwave: Advantium SpdCk&Conv, Oven: Wall/Convection",2,"Carpet, Ceramic Tile",83
3055336,510000.0,85646,7.0,4405.7,1995,3,3.0,3512.0,2.0,"Compactor, Dishwasher, Double Sink, Electric Range, Garbage Disposal, Indoor Grill, Island, Lazy Susan, Pantry: Closet, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: tile",0,"Natural Stone, Wood",150
